isfrom,goesto,count
"Austria","Austria",0
"Belgium","Austria",2
"Bulgaria","Austria",114
"Croatia","Austria",105
"Cyprus","Austria",0
"Czech","Austria",103
"Denmark","Austria",1
"Estonia","Austria",9
"Finland","Austria",2
"France","Austria",7
"Germany","Austria",123
"Greece","Austria",4
"Hungary","Austria",309
"Ireland","Austria",1
"Italy","Austria",33
"Latvia","Austria",10
"Lithuania","Austria",43
"Luxembourg","Austria",1
"Malta","Austria",0
"Netherlands","Austria",17
"Poland","Austria",151
"Portugal","Austria",7
"Romania","Austria",596
"Slovakia","Austria",234
"Slovenia","Austria",31
"Spain","Austria",4
"Sweden","Austria",6
"UK","Austria",4
"Austria","Belgium",2
"Belgium","Belgium",0
"Bulgaria","Belgium",75
"Croatia","Belgium",16
"Cyprus","Belgium",0
"Czech","Belgium",11
"Denmark","Belgium",1
"Estonia","Belgium",7
"Finland","Belgium",1
"France","Belgium",240
"Germany","Belgium",20
"Greece","Belgium",22
"Hungary","Belgium",17
"Ireland","Belgium",5
"Italy","Belgium",158
"Latvia","Belgium",4
"Lithuania","Belgium",41
"Luxembourg","Belgium",5
"Malta","Belgium",1
"Netherlands","Belgium",325
"Poland","Belgium",105
"Portugal","Belgium",37
"Romania","Belgium",396
"Slovakia","Belgium",23
"Slovenia","Belgium",1
"Spain","Belgium",42
"Sweden","Belgium",2
"UK","Belgium",23
"Austria","Bulgaria",0
"Belgium","Bulgaria",0
"Bulgaria","Bulgaria",0
"Croatia","Bulgaria",4
"Cyprus","Bulgaria",0
"Czech","Bulgaria",1
"Denmark","Bulgaria",0
"Estonia","Bulgaria",0
"Finland","Bulgaria",0
"France","Bulgaria",0
"Germany","Bulgaria",4
"Greece","Bulgaria",4
"Hungary","Bulgaria",0
"Ireland","Bulgaria",0
"Italy","Bulgaria",2
"Latvia","Bulgaria",0
"Lithuania","Bulgaria",0
"Luxembourg","Bulgaria",0
"Malta","Bulgaria",0
"Netherlands","Bulgaria",1
"Poland","Bulgaria",6
"Portugal","Bulgaria",1
"Romania","Bulgaria",5
"Slovakia","Bulgaria",0
"Slovenia","Bulgaria",0
"Spain","Bulgaria",0
"Sweden","Bulgaria",1
"UK","Bulgaria",4
"Austria","Croatia",0
"Belgium","Croatia",0
"Bulgaria","Croatia",0
"Croatia","Croatia",0
"Cyprus","Croatia",0
"Czech","Croatia",0
"Denmark","Croatia",0
"Estonia","Croatia",0
"Finland","Croatia",0
"France","Croatia",0
"Germany","Croatia",0
"Greece","Croatia",0
"Hungary","Croatia",0
"Ireland","Croatia",0
"Italy","Croatia",0
"Latvia","Croatia",0
"Lithuania","Croatia",0
"Luxembourg","Croatia",0
"Malta","Croatia",0
"Netherlands","Croatia",0
"Poland","Croatia",0
"Portugal","Croatia",0
"Romania","Croatia",0
"Slovakia","Croatia",0
"Slovenia","Croatia",0
"Spain","Croatia",0
"Sweden","Croatia",0
"UK","Croatia",0
"Austria","Cyprus",0
"Belgium","Cyprus",0
"Bulgaria","Cyprus",0
"Croatia","Cyprus",0
"Cyprus","Cyprus",0
"Czech","Cyprus",0
"Denmark","Cyprus",0
"Estonia","Cyprus",0
"Finland","Cyprus",0
"France","Cyprus",0
"Germany","Cyprus",0
"Greece","Cyprus",0
"Hungary","Cyprus",0
"Ireland","Cyprus",0
"Italy","Cyprus",0
"Latvia","Cyprus",0
"Lithuania","Cyprus",0
"Luxembourg","Cyprus",0
"Malta","Cyprus",0
"Netherlands","Cyprus",0
"Poland","Cyprus",0
"Portugal","Cyprus",0
"Romania","Cyprus",0
"Slovakia","Cyprus",0
"Slovenia","Cyprus",0
"Spain","Cyprus",0
"Sweden","Cyprus",0
"UK","Cyprus",0
"Austria","Czech",3
"Belgium","Czech",1
"Bulgaria","Czech",77
"Croatia","Czech",3
"Cyprus","Czech",0
"Czech","Czech",0
"Denmark","Czech",1
"Estonia","Czech",0
"Finland","Czech",0
"France","Czech",3
"Germany","Czech",19
"Greece","Czech",2
"Hungary","Czech",8
"Ireland","Czech",0
"Italy","Czech",6
"Latvia","Czech",17
"Lithuania","Czech",7
"Luxembourg","Czech",0
"Malta","Czech",0
"Netherlands","Czech",2
"Poland","Czech",54
"Portugal","Czech",0
"Romania","Czech",80
"Slovakia","Czech",494
"Slovenia","Czech",2
"Spain","Czech",0
"Sweden","Czech",3
"UK","Czech",5
"Austria","Denmark",0
"Belgium","Denmark",2
"Bulgaria","Denmark",15
"Croatia","Denmark",7
"Cyprus","Denmark",0
"Czech","Denmark",0
"Denmark","Denmark",0
"Estonia","Denmark",3
"Finland","Denmark",0
"France","Denmark",4
"Germany","Denmark",10
"Greece","Denmark",3
"Hungary","Denmark",3
"Ireland","Denmark",0
"Italy","Denmark",5
"Latvia","Denmark",7
"Lithuania","Denmark",44
"Luxembourg","Denmark",0
"Malta","Denmark",0
"Netherlands","Denmark",14
"Poland","Denmark",38
"Portugal","Denmark",3
"Romania","Denmark",122
"Slovakia","Denmark",2
"Slovenia","Denmark",0
"Spain","Denmark",5
"Sweden","Denmark",19
"UK","Denmark",11
"Austria","Estonia",0
"Belgium","Estonia",0
"Bulgaria","Estonia",0
"Croatia","Estonia",0
"Cyprus","Estonia",0
"Czech","Estonia",0
"Denmark","Estonia",0
"Estonia","Estonia",0
"Finland","Estonia",0
"France","Estonia",0
"Germany","Estonia",0
"Greece","Estonia",1
"Hungary","Estonia",0
"Ireland","Estonia",1
"Italy","Estonia",0
"Latvia","Estonia",0
"Lithuania","Estonia",6
"Luxembourg","Estonia",0
"Malta","Estonia",0
"Netherlands","Estonia",1
"Poland","Estonia",0
"Portugal","Estonia",0
"Romania","Estonia",0
"Slovakia","Estonia",0
"Slovenia","Estonia",0
"Spain","Estonia",0
"Sweden","Estonia",0
"UK","Estonia",0
"Austria","Finland",1
"Belgium","Finland",0
"Bulgaria","Finland",12
"Croatia","Finland",0
"Cyprus","Finland",0
"Czech","Finland",0
"Denmark","Finland",2
"Estonia","Finland",121
"Finland","Finland",0
"France","Finland",4
"Germany","Finland",9
"Greece","Finland",0
"Hungary","Finland",0
"Ireland","Finland",1
"Italy","Finland",1
"Latvia","Finland",11
"Lithuania","Finland",32
"Luxembourg","Finland",0
"Malta","Finland",0
"Netherlands","Finland",8
"Poland","Finland",3
"Portugal","Finland",1
"Romania","Finland",23
"Slovakia","Finland",0
"Slovenia","Finland",0
"Spain","Finland",1
"Sweden","Finland",7
"UK","Finland",5
"Austria","France",5
"Belgium","France",127
"Bulgaria","France",172
"Croatia","France",65
"Cyprus","France",0
"Czech","France",12
"Denmark","France",7
"Estonia","France",9
"Finland","France",1
"France","France",0
"Germany","France",53
"Greece","France",15
"Hungary","France",25
"Ireland","France",5
"Italy","France",203
"Latvia","France",13
"Lithuania","France",104
"Luxembourg","France",2
"Malta","France",1
"Netherlands","France",153
"Poland","France",164
"Portugal","France",478
"Romania","France",1737
"Slovakia","France",11
"Slovenia","France",9
"Spain","France",282
"Sweden","France",3
"UK","France",106
"Austria","Germany",118
"Belgium","Germany",46
"Bulgaria","Germany",405
"Croatia","Germany",290
"Cyprus","Germany",0
"Czech","Germany",256
"Denmark","Germany",14
"Estonia","Germany",30
"Finland","Germany",5
"France","Germany",113
"Germany","Germany",0
"Greece","Germany",262
"Hungary","Germany",221
"Ireland","Germany",9
"Italy","Germany",731
"Latvia","Germany",180
"Lithuania","Germany",532
"Luxembourg","Germany",5
"Malta","Germany",0
"Netherlands","Germany",440
"Poland","Germany",1825
"Portugal","Germany",149
"Romania","Germany",1759
"Slovakia","Germany",121
"Slovenia","Germany",39
"Spain","Germany",119
"Sweden","Germany",14
"UK","Germany",87
"Austria","Greece",0
"Belgium","Greece",6
"Bulgaria","Greece",397
"Croatia","Greece",3
"Cyprus","Greece",0
"Czech","Greece",0
"Denmark","Greece",2
"Estonia","Greece",0
"Finland","Greece",0
"France","Greece",8
"Germany","Greece",14
"Greece","Greece",0
"Hungary","Greece",7
"Ireland","Greece",2
"Italy","Greece",9
"Latvia","Greece",2
"Lithuania","Greece",1
"Luxembourg","Greece",0
"Malta","Greece",0
"Netherlands","Greece",9
"Poland","Greece",32
"Portugal","Greece",4
"Romania","Greece",232
"Slovakia","Greece",6
"Slovenia","Greece",2
"Spain","Greece",5
"Sweden","Greece",0
"UK","Greece",5
"Austria","Hungary",15
"Belgium","Hungary",1
"Bulgaria","Hungary",31
"Croatia","Hungary",13
"Cyprus","Hungary",0
"Czech","Hungary",3
"Denmark","Hungary",0
"Estonia","Hungary",0
"Finland","Hungary",0
"France","Hungary",0
"Germany","Hungary",15
"Greece","Hungary",0
"Hungary","Hungary",0
"Ireland","Hungary",0
"Italy","Hungary",11
"Latvia","Hungary",5
"Lithuania","Hungary",0
"Luxembourg","Hungary",0
"Malta","Hungary",0
"Netherlands","Hungary",4
"Poland","Hungary",9
"Portugal","Hungary",2
"Romania","Hungary",232
"Slovakia","Hungary",35
"Slovenia","Hungary",2
"Spain","Hungary",2
"Sweden","Hungary",1
"UK","Hungary",5
"Austria","Ireland",0
"Belgium","Ireland",2
"Bulgaria","Ireland",5
"Croatia","Ireland",7
"Cyprus","Ireland",0
"Czech","Ireland",40
"Denmark","Ireland",2
"Estonia","Ireland",8
"Finland","Ireland",1
"France","Ireland",10
"Germany","Ireland",16
"Greece","Ireland",1
"Hungary","Ireland",7
"Ireland","Ireland",0
"Italy","Ireland",7
"Latvia","Ireland",100
"Lithuania","Ireland",253
"Luxembourg","Ireland",0
"Malta","Ireland",1
"Netherlands","Ireland",7
"Poland","Ireland",449
"Portugal","Ireland",13
"Romania","Ireland",287
"Slovakia","Ireland",21
"Slovenia","Ireland",2
"Spain","Ireland",13
"Sweden","Ireland",1
"UK","Ireland",262
"Austria","Italy",5
"Belgium","Italy",15
"Bulgaria","Italy",160
"Croatia","Italy",95
"Cyprus","Italy",0
"Czech","Italy",15
"Denmark","Italy",1
"Estonia","Italy",6
"Finland","Italy",0
"France","Italy",82
"Germany","Italy",49
"Greece","Italy",34
"Hungary","Italy",27
"Ireland","Italy",0
"Italy","Italy",0
"Latvia","Italy",6
"Lithuania","Italy",53
"Luxembourg","Italy",0
"Malta","Italy",1
"Netherlands","Italy",21
"Poland","Italy",108
"Portugal","Italy",19
"Romania","Italy",2785
"Slovakia","Italy",19
"Slovenia","Italy",17
"Spain","Italy",79
"Sweden","Italy",2
"UK","Italy",20
"Austria","Latvia",0
"Belgium","Latvia",0
"Bulgaria","Latvia",0
"Croatia","Latvia",0
"Cyprus","Latvia",0
"Czech","Latvia",0
